m,alph,code,T,n_sums,i,d,sum,r,s,k,aligned,nX,nY,nZ,v_xy,v_yz,l1_xy,l1_yz,db_xy,db_yz,defX,defY,defZ,in_LA,in_LT,Tdot_v,anc_acf,anc_Tcube,eq_ok,type,types,seed,Wlen
2,0123,32 31 20 01,"5,4,2,1",4,165,13,20,1,1,6,0,6,6,6,"1,0,-1,0","-1,1,-1,1",2,4,-3,2,0,3,1,0,0,3,1,0,1,"1,1",1:1|0:1|1:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,165,32,48,1,0,16,0,15,15,15,"0,2,-3,1","-1,0,1,0",6,2,-3,3,0,3,0,0,0,3,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,165,112,162,1,0,56,0,55,55,55,"2,-3,2,-1","-2,4,-4,2",8,12,-1,0,0,1,1,0,0,1,0,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,166,111,162,0,1,55,0,55,55,55,"2,-3,2,-1","-2,4,-3,1",8,10,-1,-1,0,1,2,0,0,1,0,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,169,470,699,1,0,235,0,234,234,234,"-1,0,1,0","3,-5,5,-3",2,16,3,-2,5,2,4,0,0,-3,0,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,172,15,21,0,1,7,0,7,7,7,"-1,1,-1,1","1,-1,0,0",4,2,2,-1,3,1,2,0,0,-2,1,0,1,"0,1",0:1|1:1|0:1,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,180,100,145,0,0,50,1,50,50,50,"1,-2,2,-1","-1,2,-2,1",6,6,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,185,24,37,1,0,12,0,11,11,11,"0,1,-1,0","0,-1,1,0",2,2,-2,2,2,4,2,0,0,2,1,0,1,"1,0",1:0|1:0|1:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,188,108,155,0,0,54,1,54,54,54,"1,-2,2,-1","-1,2,-2,1",6,6,0,0,0,0,0,0,1,0,0,1,1,"0,0",0:0|0:0|0:0,2,2048
2,0123,32 31 20 01,"5,4,2,1",4,205,89,127,1,1,44,0,44,44,44,"2,-2,1,-1","-2,3,-3,2",6,10,-3,2,0,3,1,0,0,3,0,0,1,"1,1",1:1|0:1|1:1,2,2048
